NAME	TITLE	SCORE	
LIPA	LIPA	0.50409514	
GSN	GSN	0.47580314	
NCF1	NCF1	0.43835482	
NRP2	NRP2	0.42922965	
CYP1B1	CYP1B1	0.40257117	
TREM2	TREM2	0.39892387	
CYBB	CYBB	0.38245335	
ATP6V0D2	ATP6V0D2	0.37964505	
CD9	CD9	0.37875775	
PLA2G7	PLA2G7	0.37672505	
RPL39	RPL39	0.34606728	
TDRD3	TDRD3	0.34378418	
DNASE2B	DNASE2B	0.33673546	
C15orf48	C15orf48	0.33604637	
FGR	FGR	0.33319065	
BCL2A1	BCL2A1	0.33310014	
SGK1	SGK1	0.3258353	
CDKN1A	CDKN1A	0.31860322	
IGSF6	IGSF6	0.30956197	
OTOA	OTOA	0.30723068	
ITGAX	ITGAX	0.30043676	
LIMS1	LIMS1	0.29436713	
KIAA0930	KIAA0930	0.28634435	
AC022509.2	AC022509.2	0.28541848	
SSBP3	SSBP3	0.28412253	
MATK	MATK	0.27762517	
FBP1	FBP1	0.2776169	
ACP5	ACP5	0.27609497	
TNS1	TNS1	0.27582875	
A2M	A2M	0.27544248	
CSTB	CSTB	0.27326384	
WARS	WARS	0.27096593	
CSF1	CSF1	0.2628909	
PGD	PGD	0.25962433	
GDF15	GDF15	0.25909433	
HEXB	HEXB	0.25806102	
FAM20C	FAM20C	0.257444	
EVL	EVL	0.25718552	
PHPT1	PHPT1	0.25274795	
MTHFD2	MTHFD2	0.2508121	
BASP1	BASP1	0.2476163	
SQOR	SQOR	0.24721016	
TXN	TXN	0.24558572	
SLC2A3	SLC2A3	0.24007225	
ITGAM	ITGAM	0.23221898	
MDM2	MDM2	0.23169497	
IL17RA	IL17RA	0.22995725	
RBM3	RBM3	0.22956848	
PABPC1	PABPC1	0.2258894	
UBE2J1	UBE2J1	0.22464702	
BCAT1	BCAT1	0.2217922	
RPS8	RPS8	0.22079836	
ACTG1	ACTG1	0.22024828	
FPR3	FPR3	0.21842632	
TXNRD1	TXNRD1	0.2176312	
PTPRE	PTPRE	0.21648002	
